Checklist	ERC000050	ENA binned metagenome																									
tax_id	scientific_name	sample_alias	sample_title	sample_description	project name	assembly software	completeness score	completeness software	contamination score	binning software	Genome size (bp)	# contigs	N50 (contigs)	Longest contig (bp)	investigation type	binning parameters	taxonomic identity marker	isolation_source	collection date	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	broad-scale environmental context	local environmental context	environmental medium	sample derived from	metagenomic source
#units							%		%												DD	DD					
198431	uncultured prokaryote	sam_R12-A.metabat.60	Binned sample R12-A.metabat.60	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	91.96	checkM v1.1.2	1.49	MetaBAT2 v2.14 (biotools:MetaBAT_2)	2126295	175	18661	68584	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.63	Binned sample R12-A.metabat.63	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	92.11	checkM v1.1.2	1.79	MetaBAT2 v2.14 (biotools:MetaBAT_2)	4118217	199	57736	252463	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.93	Binned sample R12-A.metabat.93	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	60.32	checkM v1.1.2	1.22	MetaBAT2 v2.14 (biotools:MetaBAT_2)	1177518	234	6328	34302	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.89	Binned sample R12-A.metabat.89	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	59.81	checkM v1.1.2	2.48	MetaBAT2 v2.14 (biotools:MetaBAT_2)	681344	139	6474	19942	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.168	Binned sample R12-A.metabat.168	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	94.5	checkM v1.1.2	2.42	MetaBAT2 v2.14 (biotools:MetaBAT_2)	3201705	202	31255	90991	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.164	Binned sample R12-A.metabat.164	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	99.46	checkM v1.1.2	0.54	MetaBAT2 v2.14 (biotools:MetaBAT_2)	2006754	116	25550	99342	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.43	Binned sample R12-A.metabat.43	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	95.61	checkM v1.1.2	4.08	MetaBAT2 v2.14 (biotools:MetaBAT_2)	1765445	249	10130	36904	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.160	Binned sample R12-A.metabat.160	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	68.31	checkM v1.1.2	1.11	MetaBAT2 v2.14 (biotools:MetaBAT_2)	1272852	251	5447	18462	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
198431	uncultured prokaryote	sam_R12-A.metabat.9	Binned sample R12-A.metabat.9	This sample represents a metagenomic bin from the metagenomic sample ERS19359153	B1-Ocean	MEGAHIT v1.2.9	62.94	checkM v1.1.2	2.02	MetaBAT2 v2.14 (biotools:MetaBAT_2)	1315022	446	3169	14949	metagenome-assembled genome	minContig 1500, minCV 1.0, minCVSum 1.0, maxP 95%, minS 60, and maxEdges 200	Taxonomy identified using GTB-Tk v2.1.0	water [ENVO:00002006]	2020-11-04	Denmark	55.713	12.066667	aquatic biome [ENVO:00002030]|marine biome [ENVO:00000447]|coastal sea water [ENVO:00002150]	temperate marginal sea biome [ENVO:01000856]|neritic epipelagic zone biome [ENVO:01000042 ]|coastal water body [ENVO:02000049]	coastal sea water [ENVO:00002150]|ocean water [ENVO:00002151]|sea water [ENVO:00002149]	ERS19359153	aquatic metagenome
